"source_census","county_cd","pk_gndr","cd_race","age_grouping_cd","measurement_year","pop_cnt"
"2000",0,2,2,0,"2000",40319.91
"2000",0,2,2,1,"2000",10396.75
"2000",0,2,2,2,"2000",11074.26
"2000",0,2,2,3,"2000",11407.2
"2000",0,2,2,4,"2000",7441.7
"2000",0,2,3,0,"2000",32629.33
"2000",0,2,3,1,"2000",8557.65
"2000",0,2,3,2,"2000",9346.63
"2000",0,2,3,3,"2000",9361.79
"2000",0,2,3,4,"2000",5363.26
"2000",0,2,4,0,"2000",4453.75
"2000",0,2,4,1,"2000",1155.17
"2000",0,2,4,2,"2000",1261.17
"2000",0,2,4,3,"2000",1215.7
"2000",0,2,4,4,"2000",821.71
"2000",0,2,5,0,"2000",641893.86
"2000",0,2,5,1,"2000",164339.34
"2000",0,2,5,2,"2000",180307.79
"2000",0,2,5,3,"2000",185615.48
"2000",0,2,5,4,"2000",111631.25
"2000",0,2,8,0,"2000",41132.66
"2000",0,2,8,1,"2000",13432.37
"2000",0,2,8,2,"2000",11932.02
"2000",0,2,8,3,"2000",10353.41
"2000",0,2,8,4,"2000",5414.86
"2000",0,2,9,0,"2000",90908.11
"2000",0,2,9,1,"2000",29526.66
"2000",0,2,9,2,"2000",26685.73
"2000",0,2,9,3,"2000",21944.17
"2000",0,2,9,4,"2000",12751.55
"2000",0,2,10,0,"2000",95263.3
"2000",0,2,10,1,"2000",26631.1
"2000",0,2,10,2,"2000",26758.19
"2000",0,2,10,3,"2000",26188.73
"2000",0,2,10,4,"2000",15685.27
"2000",0,2,11,0,"2000",560524.35
"2000",0,2,11,1,"2000",138066.63
"2000",0,2,11,2,"2000",156421.12
"2000",0,2,11,3,"2000",165974.99
"2000",0,2,11,4,"2000",100061.6
"2000",0,2,12,0,"2000",30358.15
"2000",0,2,12,1,"2000",7839.34
"2000",0,2,12,2,"2000",8634.63
"2000",0,2,12,3,"2000",8828.8
"2000",0,2,12,4,"2000",5055.37
"2000",0,2,NA,0,"2000",777053.91
"2000",0,2,NA,1,"2000",202063.74
"2000",0,2,NA,2,"2000",218499.68
"2000",0,2,NA,3,"2000",222936.7
"2000",0,2,NA,4,"2000",133553.8
"2000",1,0,0,0,"2000",5612.88
"2000",1,0,0,1,"2000",1551.96
"2000",1,0,0,2,"2000",1615.96
"2000",1,0,0,3,"2000",1488.98
"2000",1,0,0,4,"2000",956
"2000",1,0,1,0,"2000",59.64
"2000",1,0,1,1,"2000",11.99
"2000",1,0,1,2,"2000",16.11
"2000",1,0,1,3,"2000",13.26
"2000",1,0,1,4,"2000",18.27
"2000",1,0,2,0,"2000",43.46
"2000",1,0,2,1,"2000",16.16
"2000",1,0,2,2,"2000",15.26
"2000",1,0,2,3,"2000",10.03
"2000",1,0,2,4,"2000",2.01
"2000",1,0,3,0,"2000",30.75
"2000",1,0,3,1,"2000",10.01
"2000",1,0,3,2,"2000",10.08
"2000",1,0,3,3,"2000",7.93
"2000",1,0,3,4,"2000",2.72
"2000",1,0,4,0,"2000",11
"2000",1,0,4,1,"2000",3.01
"2000",1,0,4,2,"2000",2
"2000",1,0,4,3,"2000",4.01
"2000",1,0,4,4,"2000",1.97
"2000",1,0,5,0,"2000",5403.09
"2000",1,0,5,1,"2000",1483.75
"2000",1,0,5,2,"2000",1557.46
"2000",1,0,5,3,"2000",1440.77
"2000",1,0,5,4,"2000",921.11
"2000",1,0,8,0,"2000",64.95
"2000",1,0,8,1,"2000",27.04
"2000",1,0,8,2,"2000",15.04
"2000",1,0,8,3,"2000",12.98
"2000",1,0,8,4,"2000",9.9
"2000",1,0,9,0,"2000",3332.21
"2000",1,0,9,1,"2000",1021.87
"2000",1,0,9,2,"2000",1004.64
"2000",1,0,9,3,"2000",818.46
"2000",1,0,9,4,"2000",487.24
"2000",1,0,10,0,"2000",81.22
"2000",1,0,10,1,"2000",27.1
"2000",1,0,10,2,"2000",23.21
"2000",1,0,10,3,"2000",18.04
"2000",1,0,10,4,"2000",12.89
"2000",1,0,11,0,"2000",2193.38
"2000",1,0,11,1,"2000",502.99
"2000",1,0,11,2,"2000",586.12
"2000",1,0,11,3,"2000",650.49
"2000",1,0,11,4,"2000",453.79
"2000",1,0,12,0,"2000",6.07
"2000",1,0,12,1,"2000",0
"2000",1,0,12,2,"2000",2
"2000",1,0,12,3,"2000",2
"2000",1,0,12,4,"2000",2.08
"2000",1,0,NA,0,"2000",5612.9
"2000",1,0,NA,1,"2000",1551.96
"2000",1,0,NA,2,"2000",1615.94
"2000",1,0,NA,3,"2000",1488.97
"2000",1,0,NA,4,"2000",955.98
"2000",1,1,0,0,"2000",2682.94
"2000",1,1,0,1,"2000",766.98
"2000",1,1,0,2,"2000",763.98
"2000",1,1,0,3,"2000",706.99
"2000",1,1,0,4,"2000",445
"2000",1,1,1,0,"2000",33.28
"2000",1,1,1,1,"2000",5.07
"2000",1,1,1,2,"2000",9.16
"2000",1,1,1,3,"2000",7.99
"2000",1,1,1,4,"2000",11.06
"2000",1,1,2,0,"2000",23.26
"2000",1,1,2,1,"2000",9.06
"2000",1,1,2,2,"2000",8.14
"2000",1,1,2,3,"2000",4.05
"2000",1,1,2,4,"2000",2.01
"2000",1,1,3,0,"2000",9.94
"2000",1,1,3,1,"2000",4.98
"2000",1,1,3,2,"2000",1.96
"2000",1,1,3,3,"2000",3.01
"2000",1,1,3,4,"2000",0
"2000",1,1,4,0,"2000",4.97
"2000",1,1,4,1,"2000",0
"2000",1,1,4,2,"2000",2
"2000",1,1,4,3,"2000",1
"2000",1,1,4,4,"2000",1.97
"2000",1,1,5,0,"2000",2580.47
"2000",1,1,5,1,"2000",732.91
"2000",1,1,5,2,"2000",736.68
"2000",1,1,5,3,"2000",683.94
"2000",1,1,5,4,"2000",426.94
"2000",1,1,8,0,"2000",31.01
"2000",1,1,8,1,"2000",14.96
"2000",1,1,8,2,"2000",6.04
"2000",1,1,8,3,"2000",7.01
"2000",1,1,8,4,"2000",3.01
"2000",1,1,9,0,"2000",1642.51
"2000",1,1,9,1,"2000",510.12
"2000",1,1,9,2,"2000",486.03
"2000",1,1,9,3,"2000",407.13
"2000",1,1,9,4,"2000",239.24
"2000",1,1,10,0,"2000",36.13
"2000",1,1,10,1,"2000",17.04
"2000",1,1,10,2,"2000",7.09
"2000",1,1,10,3,"2000",9
"2000",1,1,10,4,"2000",3.02
"2000",1,1,11,0,"2000",1002.3
"2000",1,1,11,1,"2000",239.81
"2000",1,1,11,2,"2000",270.87
"2000",1,1,11,3,"2000",288.87
"2000",1,1,11,4,"2000",202.75
"2000",1,1,12,0,"2000",2
"2000",1,1,12,1,"2000",0
"2000",1,1,12,2,"2000",0
"2000",1,1,12,3,"2000",2
"2000",1,1,12,4,"2000",0
"2000",1,1,NA,0,"2000",2682.94
"2000",1,1,NA,1,"2000",766.98
"2000",1,1,NA,2,"2000",763.97
"2000",1,1,NA,3,"2000",706.98
"2000",1,1,NA,4,"2000",445
"2000",1,2,0,0,"2000",2929.94
"2000",1,2,0,1,"2000",784.98
"2000",1,2,0,2,"2000",851.98
"2000",1,2,0,3,"2000",781.99
"2000",1,2,0,4,"2000",511
"2000",1,2,1,0,"2000",26.36
"2000",1,2,1,1,"2000",6.92
"2000",1,2,1,2,"2000",6.95
"2000",1,2,1,3,"2000",5.27
"2000",1,2,1,4,"2000",7.22
"2000",1,2,2,0,"2000",20.2
"2000",1,2,2,1,"2000",7.1
"2000",1,2,2,2,"2000",7.12
"2000",1,2,2,3,"2000",5.98
"2000",1,2,2,4,"2000",0
"2000",1,2,3,0,"2000",20.8
"2000",1,2,3,1,"2000",5.03
"2000",1,2,3,2,"2000",8.13
"2000",1,2,3,3,"2000",4.92
"2000",1,2,3,4,"2000",2.72
"2000",1,2,4,0,"2000",6.02
"2000",1,2,4,1,"2000",3.01
"2000",1,2,4,2,"2000",0
"2000",1,2,4,3,"2000",3.02
"2000",1,2,4,4,"2000",0
"2000",1,2,5,0,"2000",2822.62
"2000",1,2,5,1,"2000",750.84
"2000",1,2,5,2,"2000",820.79
"2000",1,2,5,3,"2000",756.83
"2000",1,2,5,4,"2000",494.16
"2000",1,2,8,0,"2000",33.94
"2000",1,2,8,1,"2000",12.08
"2000",1,2,8,2,"2000",9
"2000",1,2,8,3,"2000",5.97
"2000",1,2,8,4,"2000",6.89
"2000",1,2,9,0,"2000",1689.69
"2000",1,2,9,1,"2000",511.75
"2000",1,2,9,2,"2000",518.61
"2000",1,2,9,3,"2000",411.33
"2000",1,2,9,4,"2000",248
"2000",1,2,10,0,"2000",45.1
"2000",1,2,10,1,"2000",10.05
"2000",1,2,10,2,"2000",16.12
"2000",1,2,10,3,"2000",9.03
"2000",1,2,10,4,"2000",9.88
"2000",1,2,11,0,"2000",1191.08
"2000",1,2,11,1,"2000",263.17
"2000",1,2,11,2,"2000",315.25
"2000",1,2,11,3,"2000",361.62
"2000",1,2,11,4,"2000",251.04
"2000",1,2,12,0,"2000",4.08
"2000",1,2,12,1,"2000",0
"2000",1,2,12,2,"2000",2
"2000",1,2,12,3,"2000",0
"2000",1,2,12,4,"2000",2.08
"2000",1,2,NA,0,"2000",2929.94
"2000",1,2,NA,1,"2000",784.98
"2000",1,2,NA,2,"2000",851.98
"2000",1,2,NA,3,"2000",782
"2000",1,2,NA,4,"2000",510.98
"2000",2,0,0,0,"2000",5241
"2000",2,0,0,1,"2000",1406
"2000",2,0,0,2,"2000",1444
"2000",2,0,0,3,"2000",1428
"2000",2,0,0,4,"2000",963
"2000",2,0,1,0,"2000",104.88
"2000",2,0,1,1,"2000",23.01
"2000",2,0,1,2,"2000",30.99
"2000",2,0,1,3,"2000",33
"2000",2,0,1,4,"2000",17.88
"2000",2,0,2,0,"2000",26.3
"2000",2,0,2,1,"2000",5.98
"2000",2,0,2,2,"2000",4.02
"2000",2,0,2,3,"2000",6.05
"2000",2,0,2,4,"2000",10.25
"2000",2,0,3,0,"2000",17.96
"2000",2,0,3,1,"2000",6.02
"2000",2,0,3,2,"2000",4.98
"2000",2,0,3,3,"2000",3.93
"2000",2,0,3,4,"2000",3.04
"2000",2,0,4,0,"2000",0
"2000",2,0,4,1,"2000",0
